transcript_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
XR_007754260.1,0.337183,0.349047,0.220717,0.075664,0.176144,0.110053,0.04617,0.317779,0.265438,0,0.129177,0,0,0,0.169062,0.110082,0.194323,0,0,0
XR_007754060.1,0,0,0.202627,0,0,0,0,0,0,0.016127,0,0,0,0,0,0,0.006237,0,0,0
XM_050863826.1,0,0.15813,0.118607,0,0.05955,0,0,0.035514,0.418545,0,0.127523,0,0.096225,0,0,0,0.101593,0,0,0
XM_050864059.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050863898.1,0,0,0,0,0.283838,0,0.187529,0,0,0.065157,0,0,0,0,0,0,0.085611,0,0,0
XM_050864567.1,0,2.928163,0,0,0,0,0.305944,0,0.599877,0,0,0,0,0,0,0,0,0,0,0
XM_050865269.1,0,0.501862,1.534288,0.305501,0.365027,0.303194,0.170204,1.420145,0.772607,0,0,0,0.735756,0,0,0,0,0,0,0
XM_050865333.1,0,0.510979,1.555982,0.321993,0.392195,0.251323,0.183144,1.54221,0.849303,0,0,0,0.762372,0,0,0,0,0,0,0
XM_050865440.1,0,1.126903,0.310583,0,0,0.325442,0.885877,0,0,0,0.181206,0.155792,0.096726,0,0,0,0,0,0,0
XM_050864727.1,0,0.473499,0.285637,0,0,0.230221,0.151064,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050865080.1,0,1.081315,0.282021,0,0,0.176239,0.935327,0,0,0,0.240907,0.064388,0.030678,0,0,0,0,0,0,0
XM_050866193.1,0,6.536729,0.076469,10.61212,10.142631,12.859484,2.701341,16.409769,6.866101,0,12.861692,0,5.289528,4.74815,0.048952,4.140315,5.560727,0,0,1.150209
XM_050865944.1,0,0.004607,0,0.050074,0.255699,0,0,0,0,0,0.12701,0.063058,0.093349,0,0,0.066225,0,0,0,0
XM_050865884.1,0,0.149746,0,0.231688,0.329812,0,0.110014,0.048646,0.243403,0.243754,0.068647,0,0,0,0,0.36175,0,0,0,0
XM_050865806.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007754255.1,2.766965,2.793481,0.815547,8.716397,7.464459,3.38327,4.200232,2.173802,5.944146,3.526597,6.90262,0.178896,0.569737,3.054509,0.884849,4.177034,1.372318,0,0,0.559259
XR_007754169.1,5.177986,3.486311,7.042522,7.597022,8.682848,8.702846,5.721119,10.398959,10.316933,24.145906,19.670073,2.525501,5.90238,5.371822,6.799376,4.755951,5.220135,0,0,2.258851
XM_050863983.1,0.217318,0,0.361228,0.1111,0,0,0.16344,0,0,0.044187,0,0,0,0,0,0,0.02088,0,0,0
XM_050864121.1,0.207122,0,0,0.113131,0,0,0.084576,0,0,0.019071,0.183882,0,0,0,0,0,0.025108,0,0,0
XM_050864412.1,12.955651,3.702816,10.429003,8.776418,3.267658,3.016603,4.573226,5.272108,5.344276,3.730668,3.665429,0.279786,1.404795,1.295339,0.389178,0,1.998615,0,0,0.873576
XM_050864487.1,1.640464,11.612517,9.172126,0,4.344337,3.561257,1.565801,5.154893,3.215444,1.645904,5.146496,0,0,0,0,2.556137,1.064102,0,0,0.665949
XM_050864631.1,1.007493,3.484702,2.364608,0.143397,0.137548,0.081249,0.499454,0.620276,0.306871,0.053576,1.389928,0.915919,0.517251,0,1.062415,0,0.017027,0,0,0.070911
XM_050865596.1,9.209951,8.840655,17.082212,4.243443,5.796597,4.500168,1.280153,7.033065,4.117835,0,5.595329,0,0,0.96817,0.360859,0.11798,2.18232,0,0,0
XM_050865517.1,4.808958,9.721806,9.123755,4.313288,3.433044,0.294828,1.403666,4.991193,2.743612,1.531184,4.903038,0.017273,0.054627,0.894276,0,0,0,0,0,0
XM_050865207.1,3.113475,3.962811,1.573545,5.029143,4.078095,3.586503,7.443387,13.946856,17.091494,3.899284,8.647198,2.186262,2.342513,2.855603,0.757077,0.530303,0.774504,0,0,0
XM_050865383.1,1.220652,2.747804,1.74659,0.514843,0.760193,0.619414,0.960666,0.79591,0.976043,0,0.35543,0.561276,0,0.175578,0,0,0,0,0,0
XM_050864861.1,0.449837,1.274855,0.414156,0.162154,0.258703,0.311233,0.168214,0.253376,0.438432,0,0.180821,0.119702,0.065327,0.048852,0,0.009753,0,0,0,0
XM_050864793.1,0.295139,0.535499,0.382556,0.006629,0.010061,0.25495,0.213664,0,0.013484,0,0.001091,0.001267,0,0,0,0.000949,0,0,0,0.20734
XM_050865144.1,0.080314,0.611138,0.277487,0,0,0.283492,0.167413,0,0,0,0.100985,0.120577,0,0,0,0,0,0,0,0
XM_050864939.1,0.064059,0,0.32653,0,0,0,0.097513,0.079094,0.198934,0.038441,0.090708,0,0.019476,0.02638,0.2175,0.591525,0,0,0,0.474162
XM_050865001.1,0.006841,0.316216,0.248957,0,0.001599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050866389.1,29.14926,32.925117,26.819462,13.701256,13.841472,16.091164,16.368181,19.558702,16.026909,16.371218,13.426212,7.757253,7.077726,4.874758,8.249787,7.340847,6.02631,0,0,12.49462
XM_050866114.1,8.389307,24.026119,19.022724,13.821266,10.11618,12.442882,16.601416,18.793318,14.773151,14.603604,11.813057,6.985268,5.567193,5.035254,8.528862,6.263728,6.234799,0,0,10.214344
XM_050866298.1,1.071143,0.022948,0,0,0,0,0,2.422313,2.594114,0,0,0,0,0,0.419816,0,0,0,0,0
XM_050865989.1,0.109971,0.081083,0.077632,0.06111,0.02569,0.03919,0.085898,0.071952,0.13419,0.222207,0.262951,0,0,0,0,0.118678,0,0,0,0
XM_050865719.1,0.033565,0,0,0.212694,0.163404,0.060942,0,0.140756,0.686592,0.364008,0.286495,0,0,0,0,0.314571,0,0,0,0
XM_050868451.1,0,0,0,0.046861,0.324026,0.095356,0,0,0.499215,0.280433,0,0,0,0,0,0,0.081971,0,0,0.66827
XM_050868521.1,0,0,0,0.005218,0,0,0,0,0,0.104334,0,0,0,0,0,0,0,0,0,0
XM_050868656.1,0,0,0,0.351119,0.334266,0.097015,0,0,0.023338,0.594351,0,0,0,0,0,0,1.192542,0,0,0.031984
XM_050868700.1,0,0,0,0.144794,0,0,0,0,0,0.091606,0,0,0,0,0,0,0,0,0,0
XR_007756433.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007756512.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007756533.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007756497.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007756484.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050868384.1,0.025583,0.208585,0.340282,2.064819,1.910598,6.401894,7.273859,5.670277,4.37734,4.347804,5.288862,1.127268,1.472816,0.977079,0,0,0.456576,0,0,0.86923
XM_050868591.1,0.677866,0,0,3.463392,4.21136,1.921052,3.335051,3.695781,7.272236,4.93674,4.359753,2.011555,1.450933,3.593801,0.611256,0.900558,1.327994,0,0,0.553938
XR_007755566.1,0,0.15808,0,0,0,0,0,0,0,0,0,0,0,0.187746,0,0,0,0,0,0
XM_050867413.1,0,0,2.663219,0,0,0,3.429387,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050867513.1,0,0,0,0,0,0,0,1.824271,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755940.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755949.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755870.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755718.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755877.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755748.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755932.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755762.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755791.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755795.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755838.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755878.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755907.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755977.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007755987.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050866524.1,11.378044,13.137543,11.365455,8.832973,7.406829,6.763124,7.886006,6.548399,10.470095,6.511702,8.785121,2.679444,2.875929,2.856871,3.110204,3.614614,4.061185,0,0,2.956357
XM_050866879.1,108.471565,129.335159,136.987839,56.793995,54.960743,43.258942,49.87421,42.058109,35.327164,34.535416,35.469063,29.52256,26.889069,16.410677,6.042877,11.083265,7.34304,0,0,17.434559
XM_050867006.1,1.861526,2.477355,3.37011,1.506271,1.555714,5.354576,6.065261,8.198372,4.870378,1.481861,3.368725,3.113769,0.873438,1.427386,0.865367,0.860976,2.233532,0,0,1.785358
XM_050867098.1,0.483023,0.598276,0.536483,0.279826,0.457227,0.387157,0.857711,0.790848,2.764928,0.761364,1.237166,0.969631,0.915049,1.404454,0.654899,1.132268,0.761228,0,0,1.034007
XR_007756113.1,0.032063,0.059697,0,0.054405,0.029838,0.008899,0.057187,0.174484,0.128808,0.178681,0.13248,0,0.020556,0,0,0,0,0,0,0
XM_050867337.1,12.084967,15.393073,12.534883,9.76269,5.929294,13.037728,17.031809,19.730577,19.934811,12.384774,16.722488,9.655663,5.644432,7.932919,3.849923,3.913016,7.39323,0,0,4.816259
XM_050867269.1,0.840807,0.970407,0,2.084744,5.31048,2.877552,0,0.76752,2.165414,1.166045,1.5854,0.800836,0.416108,1.833093,0.501717,1.816474,0.644963,0,0,1.125388
XR_007755854.1,1.258601,0.698649,2.386837,0.341877,0.247558,0.511338,0.433571,0.035745,0.387286,0.259511,0.175981,0,0.093353,0,0.406131,0.09786,0.516007,0,0,0
XR_007757460.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007757477.1,0.198755,0.311389,0.058643,0.510051,0.356735,0.437417,0.514725,1.097298,0.461418,0,0.267374,0.166037,0.132503,0.077719,0,0.033063,0,0,0,0.046176
XR_007757022.1,0,0.615507,0,1.090538,1.239558,1.352377,1.71145,4.605697,1.741498,0.41614,3.279277,0,1.338237,1.408793,0,0,0,0,0,0.484802
XR_007739932.1,0,0,0.428694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050870146.1,0,0,0,0,1.036906,0.857595,0.889554,1.435751,1.403998,0,0.675717,0,0,1.022717,0,0.998077,0,0,0,0
XM_050869518.1,12.389702,14.189464,13.511727,3.879334,7.123738,3.322913,3.395879,3.545727,5.101468,6.080073,7.671011,2.513503,2.516507,1.897583,2.910383,3.022297,2.46761,0,0,2.823199
XM_050869465.1,4.084149,3.730807,3.786172,1.161648,1.81138,1.043221,1.412728,1.64833,3.060421,1.636296,1.908683,0.623158,0.773335,0.220449,0.531016,1.044715,0.605533,0,0,0.381921
XM_050869340.1,5.984349,3.924313,2.743513,1.890095,0.477034,2.381235,1.046029,0,0.850918,0,2.107798,0,0,0,0,0.336938,0.613385,0,0,0.33803
XM_050869267.1,6.169124,3.682451,7.513813,0.084676,1.911071,0.017247,0,0,1.553984,1.657868,0.094157,0,0.914903,0.017877,0,0.315012,0.042072,0,0,0.50218
XM_050869143.1,5.889978,3.723662,5.281353,2.473793,0,0,0.706817,3.289616,0,0.156531,0.184588,0.868007,0.346016,0,0,0,0,0,0,0
XM_050869078.1,2.649636,3.814296,7.334727,2.789567,2.267813,0,1.00838,1.718428,1.657742,1.742954,1.984113,0.980909,0.004181,0.790114,2.291305,1.855388,0.69944,0,0,1.200476
XM_050869010.1,1.719864,3.262637,2.696866,1.726369,1.010458,3.011003,0.868787,1.514732,2.492072,1.718558,1.756988,0.726876,0,0.564625,0.415282,0,0.360827,0,0,0.30929
XM_050869224.1,0.05737,0.006539,0.016821,0,0,0.018288,0,0.017333,0,0,0,0.070391,0,0,0,0,0,0,0,0
XM_050869398.1,7.915174,10.091523,7.429805,4.636736,6.762783,2.640736,3.631876,3.745508,4.444165,4.243642,4.714256,2.209136,1.068011,1.898039,0.87331,2.042906,1.961159,0,0,1.600674
XM_050869584.1,0.33645,0.953727,0.777787,0.780357,0.802712,1.227184,1.041047,1.79823,4.359219,0.687487,1.243185,2.49537,0.572038,0.590816,0.287123,0.244881,0.587451,0,0,0.807689
XR_007757049.1,0.543248,1.694828,0.637753,3.095083,2.153406,3.349206,3.536228,9.135229,4.15973,3.385331,4.949835,3.593362,2.144816,2.415328,0.214433,0.040266,0.170421,0,0,1.141135
XM_050869751.1,3.795188,14.803292,8.192241,0.846939,0.834035,0.330814,0.498782,1.423684,3.156213,0.57944,1.555014,0.966275,1.378674,1.107559,0.10769,0.385562,0.270264,0,0,0.51737
XR_007757059.1,1.278421,8.543622,2.346393,0.314356,0.311652,0.272016,0.646041,1.495351,1.58865,0.465089,1.273769,0.235577,0.53403,0.268778,0,0.2568,0.097543,0,0,0.157396
XR_007757066.1,5.675056,14.569151,5.309933,1.324791,1.491968,0.935884,1.200004,2.542863,5.452507,2.892872,4.943194,0.930288,1.437983,0.902435,0.276794,0.621584,0.376238,0,0,0.235582
XM_050870230.1,0.599672,1.528486,11.885978,1.669351,1.602818,2.636539,0.86722,0.414845,2.283491,0,1.070742,0.160261,0.146647,0,0,0,0,0,0,0
XM_050870319.1,16.980591,22.228895,29.85219,11.447578,9.434693,5.206808,8.614643,7.416659,8.661469,8.017393,7.548023,2.259859,1.277724,2.488322,0.950956,3.496801,2.485648,0,0,1.336201
XM_050870398.1,16.14646,22.778051,2.936919,11.996362,8.270302,6.278159,6.431318,15.464348,11.118441,7.119984,12.273504,2.594115,4.371237,1.945337,3.483725,3.332644,3.2872,0,0,3.303264
XM_050870514.1,16.361216,18.688044,15.21643,9.515486,8.998125,6.630765,6.779778,7.159676,6.422903,5.88754,9.181849,2.037874,2.132842,1.47656,2.362329,2.542148,2.266086,0,0,1.94261
XM_050870639.1,15.044827,9.840533,15.930734,16.19677,14.037314,18.507826,21.330137,28.629393,22.742853,11.181266,10.530373,5.505022,0.860605,7.475813,1.232765,4.602931,5.011684,0,0,0.211378
XM_050870596.1,2.923016,8.451217,3.263556,8.593611,7.576399,9.883187,11.619833,5.289901,7.503404,2.935377,7.173467,4.942684,5.948937,6.291249,5.470794,3.8445,4.010977,0,0,5.635977
XM_050870722.1,4.25541,19.720163,7.724039,20.570776,20.628986,64.754776,63.025639,80.16227,83.078857,50.762871,78.156326,34.59911,21.307755,16.853546,22.917212,13.19201,28.652418,0,0,89.981651
XR_007757401.1,0.850067,1.580766,1.257988,0,0,0.157561,0.141283,0,0,0,0,0,0.025459,0.054456,0,0,0.057707,0,0,0
XR_007757438.1,0.71435,1.27576,0.484244,0.302109,0.142807,0.130871,0.155726,0.190392,0.155594,0.299089,0,0.017082,0.046117,0,0.064518,0.032748,0.211132,0,0,0.370437
XM_050855265.1,83.060944,81.37944,136.146378,18.834297,18.019407,14.214558,14.222049,22.879496,25.651747,19.608067,24.625679,8.211648,11.217421,6.801821,31.552319,27.507324,24.508936,0,0,20.572744
XM_050838897.1,0,0,0,0,0,0,0,2.403768,0,0,0.68122,0,0,0,0,0,0,0,0,0
XM_050838758.1,0,4.318351,0,0,0,0,0,0.375706,0,0,0,0,0,0,0,0,0,0,0,0
XM_050838806.1,0,0,0,0,0,0,0,0,0,0,0.464221,0,0,0,0,0,0,0,0,0
XM_050838840.1,0,0.072057,2.85974,0,0,0,0,0.034329,0,0,0,0,0,0,0,0,0,0,0,0
XR_007737888.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050838676.1,1.316342,0.13229,1.518467,0.613629,0.555346,1.048528,0.435273,0.015809,2.673672,0.369548,0.441995,0.120711,0.255502,0.280049,0.204997,0.35664,0.512377,0,0,0.456002
XR_007737867.1,0.293535,0.636864,1.536979,0,0,0,0,0.460856,1.750036,0.707292,1.353836,0,0,0,0.206184,0.862272,0.233005,0,0,0
XM_050839647.1,4.829857,6.754713,10.311387,1.005576,0.496449,8.373947,1.150607,7.877449,5.765771,1.358341,8.971246,3.669083,0.997248,0.673868,1.010586,0.644332,0,0,0,0
XM_050839271.1,3.683213,4.479131,4.613655,0.698197,0,0.759521,0.40975,0,0,0,0,0,0,0.414941,0,0,1.60848,0,0,0
XM_050839186.1,3.182212,2.986865,8.030502,0.603114,0,0,0.906826,0.713432,0.603423,0,0.741459,0,0.983865,0.318919,0,0.138153,0,0,0,0
XM_050839203.1,2.502654,1.956105,4.762893,0.614997,1.647519,0.91682,0.779912,0.884047,0.658921,0,1.093503,0,0,0.381873,0.039355,0,0,0,0,0
XM_050839558.1,21.262276,27.240644,21.944136,9.26208,10.501694,0.23965,7.530165,2.348715,4.435257,6.341731,1.329652,0.160686,1.652767,2.470734,0.024081,2.528133,0.639418,0,0,0
XM_050839468.1,0.915503,3.854053,0.178061,0,0.005985,0.076985,0.011727,0.079937,0,0,0,0,0.027586,0.001554,0,0,0,0,0,0.844066
XM_050839367.1,0.044699,0.041975,2.287145,0.034331,0,0.0684,0,1.087915,0.590526,0,0,0,0,0,0,0,0,0,0,0
XM_050855266.1,0,0,0,0,0,0.025164,0,0,0.23073,0.158879,0.116861,0.051262,0,0,0,0,0,0,0,0
XM_050839991.1,0.768939,5.941709,2.190305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050840138.1,0,0,0,0,0,0,0.788365,0,5.819874,13.342233,0.997457,4.049557,4.617962,26.849159,11.496034,43.419987,20.471117,0,0,15.472418
XM_050840211.1,0,0,0,0,0,0,0,0,0.348144,0.122803,0,0.03099,0.060593,0.084574,0.964633,0,0,0,0,0
XM_050840089.1,0.342738,0.31119,0.1897,4.069963,4.297052,16.914936,18.348244,15.681082,25.682829,18.991215,20.259731,104.523758,50.254822,67.34494,35.113392,30.822277,41.431145,0,0,20.390171
XM_050839865.1,0,0,0.060316,0.025028,0.104772,0.031836,0.076891,0.167788,0.170372,0.093004,0.058516,0.294462,0.053634,0.080936,0.080266,0.017304,0.141365,0,0,0.059026
XM_050856337.1,0.051983,0,0,0,0.117534,0,0,0.056636,0.109723,0.058575,0.134941,0,0,0,0,0.07762,0,0,0,0
XM_050840333.1,51.56694,51.067448,48.150829,31.190866,30.136028,11.768234,12.179669,18.619095,19.187786,12.726654,13.900187,5.310051,7.459801,6.21299,8.901125,14.618853,8.079017,0,0,8.898477
XM_050840464.1,36.905216,40.855766,50.821209,21.203844,21.706526,12.098206,11.001116,14.118437,14.707429,7.838054,11.014078,3.54484,5.583404,4.873917,5.90494,11.320815,7.189882,0,0,7.985553
XM_050840982.1,0,0,0,0,0,0.025318,0,0,0,0,0,0.082537,0,2.53065,0,0,0,0,0,0
XM_050840835.1,0,0,0,0,0,0,0,2.440442,0,0,0,0,0,0,0,0,0,0,0,0
XM_050840889.1,0,0,0,0,0,4.005849,0.489824,3.585728,6.414631,0.261347,5.675283,0,2.539339,0.075503,0,0,0,0,0,0
XM_050841131.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.513167,0,0,0,0,0
XM_050840791.1,0.041911,0.064627,0.108176,1.817617,1.196372,0.071079,3.518871,0.091493,0,3.381255,0,2.883567,0,0,0.335848,0.403891,1.648777,0,0,0.396008
XM_050841195.1,38.118484,38.88937,44.223465,15.065275,13.317977,8.978352,11.68928,9.169848,7.034939,9.041615,7.527514,7.248782,6.731402,5.565894,0,5.241757,3.518375,0,0,4.116886
XM_050841741.1,5.170538,9.121891,8.17508,5.252484,4.388903,3.720735,2.419775,4.784008,6.605099,4.44097,5.922035,1.766871,2.343578,1.908616,4.211678,4.364752,5.338645,0,0,1.826528
XM_050843500.1,0.030272,0,0,0,0,0,0,0.068161,0.064155,0.081536,0.107447,0,0.010534,0,0,0.020445,0.021488,0,0,0.020623
XM_050848686.1,0,0,0,1.362317,1.40622,2.345521,1.897207,2.022516,0,1.344301,1.920352,5.889505,1.8754,0,13.417463,3.425699,9.690648,0,0,13.534165
XM_050848639.1,0,0,0,0.066269,0.425005,3.146258,5.294012,1.949674,0,1.018448,0.014388,19.67874,2.088923,10.414955,1.667416,0,5.073222,0,0,1.950632
XR_007744321.1,0,0,0,0,0,0.037319,0,0,0.039216,0,0,0.054676,0.033025,0.033222,0,0,0.015001,0,0,0.110528
XM_050848727.1,0.467289,0.084906,0.266872,0.198098,0,0,0.031617,0.512676,1.581456,0.058683,0,0.920242,0,0,0,0,0,0,0,0
XM_050843982.1,0,0,0,0,0,0,0,0,0,0,0,0,2.356415,0,0,0,1.928012,0,0,0
XM_050844082.1,0,0,0,0,0,0.075311,6.698415,1.631813,40.383839,8.589666,31.126497,0.052905,0,0.009313,0,0,1.072171,0,0,0.199815
XM_050844127.1,0,0,0,0,0,0,0.012601,0,0,0,0.014295,0,0,0,0,0,0,0,0,0.01901
XM_050844173.1,0,0,0,0,0,0,0.015291,0,0,0,0.023389,0,0,0,0,0,0,0,0,0.616561
XM_050844237.1,0,0,0,0,0,0,0,0.000936,0,0,0.01512,0,0,0,0,0,0,0,0,0.012871
XM_050844327.1,0,0,0,0,0,0,0.013447,0.65012,0,0,0,0,0,0,0,0,0,0,0,0
XM_050844370.1,0,0,0,0,0,0,1.700792,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050844416.1,0,0,0,0,0,0,0,0,0.571536,0,0,0,0.002276,0,0,0,0,0,0,0
XM_050844471.1,0,0,0,0,0,0,0,0,0.157283,0,0,0,0,0,0,0,0,0,0,0
XM_050844554.1,0,0,0,0,0,0,0.012836,2e-06,0,0,0.044135,0,0,0,0,0,0,0,0,0
XM_050844641.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050844715.1,0,0,0,0,0,0,0.010124,0.4974,0.60438,0.018766,0,0,0,0,0,0,0,0,0,0.458454
XM_050844779.1,0,0,0,0,0,0,0,0,0,0,0,0,0.031122,0,0,0,0,0,0,0
XM_050844851.1,0,0,0,0,0,0,0.007794,0.006516,0,0,0.000391,0,0,0,0,0,0,0,0,0
XM_050844937.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050845032.1,0,0,0,2.419375,1.924898,0,0,0,0.571539,0,0,6.178746,0.002276,4.159476,2.145398,1.620804,0,0,0,0
XM_050845109.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050845171.1,0,0,0,0,0,0,0,0,0,0,0,0,0.01855,0,0,0,0,0,0,0
XM_050845261.1,0,0,0,0,0,1.694707,0.03684,2.7e-05,0,0.021279,0,0,0,0,0,0,0,0,0,0
XM_050845341.1,0,0,0,0,0,0,0.006334,0,0,0,0.005412,0,0,0,0,0,0,0,0,0
XM_050845431.1,0,0,0,0,0,4.251122,0,10.373451,0,1.286969,0,0,0,0,0,0,0,0,0,0
XM_050845528.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050845612.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050845696.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332869
XM_050845758.1,0,0,0,0,0,2.090654,0,0.523546,0,0,0,0,0,0,0,0,0,0,0,0
XM_050845845.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050845905.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050845963.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050846007.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050846070.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050846159.1,0,0,0,0,0,0,0,0.132837,0,2.60667,0,0,0,0.009653,0,0,0,0,0,0
XM_050846243.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050846310.1,0,0,0,0,0,0,0,0,0,0,0,0,0.02797,0,0,0,0,0,0,0
XM_050846366.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050846434.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142392
XM_050846481.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050846564.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050846610.1,0,0,0,0,0,0,0,10.477911,0,0,0,0,0,0,0,0,0,0,0,0
XM_050846693.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050846739.1,0,0,0,0,0,1.97477,1.611902,1.922197,0.012249,2.842015,6.992387,0.019972,4.576805,0.011323,0,0,3.11267,0,0,3.190274
XM_050846818.1,0,0,0,0,0,0,0,0,0,0,0.005474,0,0,0,0,0,0,0,0,0
XM_050846903.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050846970.1,0,0,0,0,0,0,0,0,0,0,0,0,0.063011,0,0,0,0,0,0,0
XM_050847011.1,0,0,0,0,0,5.040147,0,1.132721,0,0,0,0,0,0,0,0,0.642576,0,0,0
XM_050847058.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050847121.1,0,0,0,0,0,0,0,0.001588,0,0,0,0,0,0,0,0,0,0,0,0
XM_050847201.1,0,0,0,0,0,0,0,0.008979,0,0,0,0,0,0,0,0,0,0,0,0
XM_050847258.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050847289.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050847364.1,0,0,0,0,0,0,0,0.016017,0,0,0,0,0,0,0,0,0,0,0,0
XM_050847432.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_007743141.1,0,0,0,0,0,0.072198,0.078167,0,0,0,0,0.126104,0,0,0,0.083212,0,0,0,0
XR_007742974.1,0,0,0,13.374722,16.290636,10.202662,22.928413,6.255195,19.387466,22.42717,17.925798,14.059203,10.384218,7.181459,9.376271,19.902586,8.98963,0,0,2.492032
XR_007743035.1,0,0,0,9.008087,9.623037,25.612957,15.522,18.65066,17.476706,23.652607,14.834163,0,0,0,0,0,0,0,0,2.459285
XR_007743052.1,0,0,0,6.757729,5.492739,6.427185,9.449399,14.142564,13.13499,10.832487,8.55891,1.517633,0,8.544312,5.123829,4.054186,5.58943,0,0,6.505968
XM_050847755.1,0,0,0,0.029122,0.365843,1.179375,0.959575,0.72439,1.219093,0.64412,0.112874,0.325426,0.395304,0.066021,0.241019,0.682312,0.049021,0,0,0.634754
XM_050847603.1,0,0,0,0.037436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
